,id,ticker,close,dividend,earnings,growth_rev_5y,growth_ear_5y,growth_div_5y,equity_ratio,p/e,profit_return,direct_return,country
1310,1559,KOMP,,0.0,1.9271,,,,0.16823498830257344,,,,2
1311,1560,ESEN,,0.0,-0.8866,,,,0.8955828718087262,,,,1
1312,1561,IRRAS,,0.0,-5.8282,,,,0.8972235752557233,,,,1
1313,1562,LOGIST,,9.0,13.5646,,,,0.3962546594783876,,,,1
1314,1563,3KR,,8.25,17.5492,,,,0.40213101703853354,,,,1
1315,1564,TSEC,,0.0,-3.526,,,,0.22290232777460395,,,,1
1316,1565,DEVP B,,0.75,2.3242,,,,0.4086514381118616,,,,1
1317,1566,MAGI,,0.0,-2.2718,,,,0.8239052427221651,,,,1
1318,1567,TTALO,,0.2,0.5365,,,,0.4403338208724082,,,,3
1319,1568,EFECTE,,0.0,-0.1522,,,,0.6008133561643836,,,,3
1320,1569,GOFORE,,0.19,0.3654,,,,0.6374116556598308,,,,3
1321,1570,TITAN,,0.55,0.2908,,,,0.8976844372644049,,,,3
1322,1571,SCOUT,,0.0,-3.702,,,,0.8446351666332217,,,,1
1323,1572,ACCON,,0.0,-2.0536,,,,0.9523594072946766,,,,1
1324,1573,LYKO A,,0.0,-0.836,,,,0.5503928937478647,,,,1
1325,1574,ARJO B,,0.55,1.0867,0.6118609190164672,,,0.4131394640682095,,,,1
1326,1575,COLAB,,0.0,0.352,,,,0.48668644181105986,,,,1
1327,1576,TOAD,,0.0,0.2859,,,,0.6430810164828971,,,,1
1328,1577,BIOWKS,,0.0,-1.965,,,,0.9144734890069133,,,,1
1329,1578,TOPR MTF,,0.0,-0.6853,1.72028980082929,,,0.4353324770279617,,,,1
1330,1579,247,,0.0,0.3976,,,,0.5251504404326997,,,,1
1331,1580,CRAYON,,0.0,0.2037,,,,0.16081249244017348,,,,2
1332,1581,SSG,,0.0,1.2479,,,,0.7349719322422928,,,,2
1333,1582,WSTEP,,1.6,2.1418,,,,0.7038463766978242,,,,2
1334,1583,ORPHA,,0.0,-6.3329,,,,0.9289170313978066,,,,4
1335,1584,TCM,,4.75,10.371,,,,0.4843811460066063,,,,4
1336,1585,CPHCAP PREF,,0.0,0.0,,,,,,,,4
1337,1586,CBM,,0.0,-0.6924,,,,0.8944246757551866,,,,4
1338,1587,GATE,,0.0,0.0,,,,,,,,4
1339,1589,EPIC-ME,,0.0,-2.6019,,,,0.41975308641975306,,,,2
1340,1590,GENT-ME,,0.0,-1.286,,,,0.9530736997972703,,,,2
1341,1592,GRONG-ME,,7.0,15.7944,,,,0.10159514101043816,,,,2
1342,1593,MPCC,,0.0,-0.166,,,,0.6358872229808521,,,,2
1343,1594,NODL,,0.0,-0.0069,,,,0.776886188469728,,,,2
1344,1595,LSTSB-ME,,0.0,63.355,,,,0.10114195117537512,,,,2
1345,1596,TYSB-ME,,0.0,0.0,,,,,,,,2
1346,1597,BALT-ME,,0.0,0.0,,,,,,,,2
1347,1598,JPK-ME,,0.0,0.0,,,,,,,,2
1348,1599,CGIT B,,0.0,0.4936,,,,0.31337574321234046,,,,1
1349,1600,HDW B,,0.0,-1.4879,,,,0.8558090185676392,,,,1
1350,1601,OBST,,0.0,-0.2077,0.9419754375321504,,,0.8573790822653989,,,,1
1351,1602,ORGO,,0.0,-0.1995,,,,0.8622723775327007,,,,1
1352,1603,ADDV B,,0.0,-0.0248,0.9706379674140624,,,0.1765319927752711,,,,1
1353,1604,ARBO MTF A,,0.0,0.1344,,,,0.5900455630288566,,,,1
1354,1605,ATCO B,,6.3,13.4618,0.4453559385937076,0.8081686580865393,,0.43935036722871623,,,,1
1355,1606,BONAV A,,5.2,11.7238,0.8196022599133113,1.111095886266185,,0.34934041947423367,,,,1
1356,1607,CAT A,,1.2,-1.3315,0.8777209102439945,,1.379729661461215,0.23498359252389783,,,,1
1357,1608,CORE B,,0.45,3.2421,0.8885735232852606,1.563341421447854,1.1263039392161627,0.33744908350305497,,,,1
1358,1609,ELUX A,,8.5,13.2393,0.6394114672566946,0.9288518427915986,0.7899931540893276,0.22349761591581715,,,,1
1359,1610,ERIC A,,1.0,-1.9848,,,,0.3265726798158959,,,,1
1360,1611,ESSITY A,,5.75,11.2288,0.8090492090934306,0.8750482181895672,,0.3558723244266397,,,,1
1361,1612,SHB B,,5.5,8.9275,0.6771788309930553,0.655868251725032,,0.047767860440659275,,,,1
1362,1613,HOLM A,,6.75,13.5006,0.45283773695754065,1.0845547828136297,0.8106130830989491,0.6353760294755093,,,,1
1363,1614,HUFV C,,3.7,20.9423,0.6656306044582008,1.029852402356607,0.7729268565836439,0.6391046210264638,,,,1
1364,1615,HUSQ A,,2.25,2.1211,0.7585493826014718,0.8595549529512851,0.8168333504582024,0.414665734193281,,,,1
1365,1616,INDU A,,5.75,-19.2671,,,,0.9131488631488631,,,,1
1366,1617,INVE A,,13.0,-2.9449,,,0.8502830004171938,0.7876633303527647,,,,1
1367,1618,KINV A,,8.25,-49.5831,,,0.6728719103855937,0.9521256482281764,,,,1
1368,1619,KLOV B,,0.46,3.9983,0.7802448962418,1.1711236320231626,0.8818602062217206,0.3213488718075874,,,,1
1369,1620,MSON A,,1.25,2.8038,1.1599622586540013,0.4147688201035313,0.6713356571131776,0.4406596377399297,,,,1
1370,1621,MIDW A,,0.5,0.0816,,,,0.4448236632536974,,,,1
1371,1622,MTG A,,6.5,15.6011,0.7601355542163334,,,0.3442727809486322,,,,1
1372,1623,NCC A,,4.0,-7.0,0.3846759536555334,,,0.10918114143920596,,,,1
1373,1624,ORTI A,,0.0,-0.4299,,,,0.07874499043217677,,,,1
1374,1625,RATO A,,0.5,-1.4043,,,,0.42857718824335767,,,,1
1375,1626,SAGA B,,1.0,10.0,1.0161230616101802,1.2649261701267758,1.0844717711976986,0.4575838527753042,,,,1
1376,1627,SAGA D,,2.0,10.0,1.0161230616101802,1.2649261701267758,,0.4575838527753042,,,,1
1377,1628,SCA A,,1.75,5.21,,,,0.6451303902624321,,,,1
1378,1629,SEB C,,6.5,10.6706,,0.7348738787640133,0.8189716869279107,0.05795056389132531,,,,1
1379,1630,SKF A,,6.0,15.9986,0.7302417012754346,0.8979225136608423,0.6190439206838455,0.4066855563075723,,,,1
1380,1631,SLOTT A,,0.0,0.1991,0.5664491344687593,,,0.45221873072743823,,,,1
1381,1632,SSAB B,,1.5,3.4463,0.8934707384949154,,,0.6434850303285867,,,,1
1382,1633,STAR A,,0.0,-4.0732,0.8929525773823022,,,0.3148246346380834,,,,1
1383,1634,STE A,,5.255,13.5006,0.6845440797435313,1.6020106173922182,0.9750871261331006,0.5239318234882093,,,,1
1384,1635,SVOL A,,2.0,13.4726,,0.6942510909587625,0.9509793927955896,0.9966409674013884,,,,1
1385,1636,SWEC A,,5.5,10.5736,1.0068854353082506,0.9502083745667792,0.8941129606579812,0.4291542017949415,,,,1
1386,1637,TEL2 A,,4.4,1.5958,,,,0.43998354387493344,,,,1
1387,1638,TRAN B,,0.0,0.009,1.4008938125270118,,,0.6279747580084496,,,,1
1388,1640,VOLV A,,10.0,12.2645,0.8246158774048691,1.6109572434900696,1.184664452542244,0.265095446664265,,,,1
1389,1642,ILK1S,,0.4,2.1683,,1.3872240146133352,1.2457309396155174,0.9155606891032901,,,,3
1390,1643,KESKOA,,2.34,1.6125,0.6792908013639228,0.9218219864929442,0.8905075489802287,0.510806414129677,,,,3
1391,1644,METSA,,0.29,0.5721,,1.1173069360016394,1.072145025900851,0.5791524384905,,,,3
1392,1645,OKDAV,,0.09,0.07,,,,0.1956451439042794,,,,3
1393,1646,ORNAV,,1.5,1.3967,,,0.6877289852925459,0.6741955175721636,,,,3
1394,1647,SSABAH,,0.144,0.3308,0.8336527911028127,,,0.6434850303285867,,,,3
1395,1648,STCAS,,0.0,-0.6273,,,,0.4615679194704306,,,,3
1396,1649,STEAV,,0.5,1.2845,0.45252794877947117,1.5598683348363653,0.9221079114817278,0.5239318234882092,,,,3
1397,1650,ALBAV,,0.7,1.4824,0.5664089877263265,0.8017008388621905,0.9440875112949019,0.04354084202950702,,,,3
1398,1651,ODF,,0.0,-21.4264,,,,0.3260763342200988,,,,2
1399,1652,SCHB,,2.0,2.719,0.729036895123074,,0.677610913400481,0.5369807868252516,,,,2
1400,1653,WWI,,20.15,-11.9847,,,1.248212495026907,0.6550828190971094,,,,2
1401,1654,MAERSK A,,150.0,958.8709,,,,0.5895896602867434,,,,4
1402,1655,CARL A,,18.0,34.8382,,0.727664236426086,1.0,0.4068734069668649,,,,4
1403,1656,GYLD A,,5.6,22.0472,,0.9851402664349698,,0.5066934404283802,,,,4
1404,1658,ROCK A,,29.9,89.7242,0.7439795409948854,1.063556647473562,1.1048082284564504,0.7721102426984779,,,,4
